ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
754831940,922352850,1081940456,578524438,224123284,1566497655,1347751445,191025469,20512175303
790098032,922740203,1081179382,578538605,221057879,1567224900,1346924234,190483370,20771544414
752301464,922292743,1080247329,578014564,224602766,1567055858,1346898813,190700873,20517635830
790516554,922419445,1081906686,578863245,225295268,1566728272,1347075749,190979240,20771956031
752797288,922292982,1082724620,578522983,221288887,1566418057,1347684618,190366187,20517103105
791302147,922781839,1082083413,580112249,223163798,1566665208,1348065280,190493568,20767758363
753724446,923028730,1082044681,579063826,223200789,1566976341,1349390229,190873327,20519881364
791169296,922908946,1081830931,577892900,222325480,1567174253,1347855043,190598983,20776716915
753905963,922778935,1081937413,578397943,224212826,1566359650,1346907896,190572113,20517039685
791509383,922716236,1081616288,579915657,221984357,1566784462,1346988597,190496213,20775658701
754363610,922504233,1081745372,577059952,222166453,1567511875,1347895269,190555233,20516092784
790385163,923022557,1081244211,579223670,219554621,1566389417,1347608479,190866504,20773098899
754114338,922773060,1081119465,578803666,223091865,1566088360,1348308018,190990048,20525491936
790954131,922489242,1081850217,579999068,225728060,1566612725,1347378625,190322056,20772571683
752879447,922732161,1079942135,578528091,220779736,1567583903,1348523084,190360319,20519753876
791540751,922434796,1082271116,579954423,223377010,1566714406,1348345440,190462915,20768194045
753177845,922508005,1081693303,578879972,221774906,1567816424,1348336913,190677283,20517641490
790539719,922768896,1081906260,579015168,221587379,1565691683,1347722807,190966027,20776229133
751605018,922516115,1081687614,579487321,222577137,1567030468,1348069748,190630191,20521411935
790397271,923320947,1082236512,578452016,221603571,1566826749,1346687408,190671370,20770881241
752625878,922405239,1081314533,579472436,223998627,1566841026,1347060035,190917937,20518598505
790337919,922538531,1081320204,579798351,222449544,1568990245,1347408558,190640960,20775109939
751820083,922066071,1080431805,578366213,221088924,1566630862,1346541926,190534994,20513405746
790481357,922320144,1082231694,578425740,221139446,1567749523,1346925142,190254468,20778854554
753296740,922650632,1081556148,577968532,224569908,1566656407,1346768878,190446214,20532828401
790329806,922880225,1081492771,578831015,220510837,1566392417,1347900459,190500194,20773239850
753026637,922726898,1081751358,579535821,221937520,1568813371,1346831987,190900842,20522811084
790464677,922216384,1081075238,579842439,225316062,1568510647,1347039112,190619598,20773441754
752444936,922959128,1083527926,576543237,222727676,1567632573,1349866512,190522330,20515783633
790702199,923235574,1081723798,579521843,220499015,1567996315,1347796913,190863805,20780440135
754197518,922739898,1081371270,579410394,220786062,1569281934,1347299457,190465449,20513784971
790750066,922730342,1080939765,578878049,223109732,1569094852,1347676437,190671834,20777477617
754043222,922871113,1081775913,578589273,220611406,1567324337,1348098172,191004519,20509937058
791170955,922654280,1080400812,578662419,223638133,1567500188,1348116355,190546337,20773633856
752750453,922923442,1080127765,577622357,222991638,1566556918,1347917790,190486136,20521899148
790955801,922677094,1082864732,578671543,224075899,1565959950,1347289736,190534846,20765796000
752328930,922440244,1081058582,579348378,225188207,1566086968,1348100087,190485708,20515903720
790451416,922688987,1082147325,579172307,220713212,1566865982,1347703212,190462570,20773952658
